y,x1,x2,x3,x4,x5,x6,x7
172.9,11246,681,105.9,10183,4110,11242,9
352.94,10335,791,107.4,10414,3996,12693,6.5
447.67,13156,607,114.4,13134,4689,16681,6
404.02,6127,714,110.8,15033,6876,22131,4.75
409.51,27419,911,99.4,17389,8636,31353,4.75
619.71,25633,1231,91.4,21715,12339,43528,9.5
1121.17,95684,2760,90.8,27075,16623,70752,10
1506.94,105987,2651,86.3,31827,19937,125989,16
1105.79,46230,2105,125.3,35393,24787,99468,10.5
933.03,37165,3030,107.4,38823,25112,82478,10.5
1008.54,48787,2810,106.6,46079,24414,54936,8.5
1567.56,75808,2649,115.7,47871,22970,87135,6
1960.06,123128,3031,110.1,54372,24403,129884,6.5
2884.88,371406,3644,105.8,65602,30531,153044,5
2556.72,198569,3690,101.6,74917,37861,215033,5.25
