year,t,y
1950,1,5.5196
1951,2,5.63
1952,3,5.7482
1953,4,5.8796
1954,5,6.0266
1955,6,6.1465
1956,7,6.2828
1957,8,6.4653
1958,9,6.5994
1959,10,6.7207
1960,11,6.6207
1961,12,6.5859
1962,13,6.7295
1963,14,6.9172
1964,15,7.0499
1965,16,7.2538
1966,17,7.4542
1967,18,7.6368
1968,19,7.8534
1969,20,8.0671
1970,21,8.2992
1971,22,8.5229
1972,23,8.7177
1973,24,8.9211
1974,25,9.0859
1975,26,9.242
1976,27,9.3717
1977,28,9.4974
1978,29,9.6259
1979,30,9.7542
1980,31,9.8705
1981,32,10.0072
1982,33,10.1541
1983,34,10.2495
1984,35,10.3475
1985,36,10.4532
1986,37,10.5721
1987,38,10.724
1988,39,10.8978
1989,40,11.2704
1990,41,11.4333
1991,42,11.5823
1992,43,11.7171
1993,44,11.8517
1994,45,11.985
1995,46,12.1121
1996,47,12.2389
1997,48,12.3626
1998,49,12.4761
1999,50,12.5786
2000,51,12.6743
2001,52,12.7627
2002,53,12.8453
2003,54,12.9227
2004,55,12.9988
2005,56,13.0756
2006,57,13.1448
2007,58,13.2129
2008,59,13.2802
2009,60,13.345
2010,61,13.4091
2011,62,13.4735
2012,63,13.5404
2013,64,13.6072
